               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047454,            0.021052,            0.059922,             0.46064,             0.40443,             0.40789,             0.23704,            0.025269,           0.0065153,            0.032275,           0.0033322,           0.0033322,            0.070011
                   1,            0.036575,            0.018597,            0.044358,             0.56922,             0.54617,             0.54395,             0.30043,            0.026093,           0.0063739,            0.021524,           0.0062256,           0.0062256,            0.039571
                   2,            0.036529,             0.01926,            0.041296,             0.46639,             0.46339,             0.44247,              0.2405,            0.027009,           0.0071851,            0.024097,            0.008679,            0.008679,           0.0086907
                   3,            0.035138,            0.019937,            0.041898,             0.55327,             0.51745,             0.52911,             0.27474,            0.027381,           0.0066128,             0.01896,             0.00802,             0.00802,             0.00802
                   4,            0.033234,            0.019649,            0.038014,              0.6044,             0.55578,              0.5607,              0.3226,            0.025925,           0.0066313,            0.016621,             0.00802,             0.00802,             0.00802
                   5,            0.031884,            0.019343,            0.035756,             0.62676,             0.59013,             0.62639,             0.36175,            0.023782,           0.0063986,            0.014801,             0.00736,             0.00736,             0.00736
                   6,            0.030873,            0.019025,            0.033618,             0.65762,             0.63273,             0.64797,             0.36976,            0.023385,           0.0064367,            0.012552,              0.0067,              0.0067,              0.0067
                   7,            0.030095,            0.018726,            0.031253,             0.71211,             0.62908,             0.66802,             0.40035,            0.022905,           0.0063031,            0.011177,             0.00604,             0.00604,             0.00604
                   8,            0.029365,            0.018417,            0.029165,             0.70508,             0.64733,             0.67672,             0.40427,            0.023159,           0.0061187,            0.011769,             0.00538,             0.00538,             0.00538
                   9,            0.028682,            0.018223,            0.028626,             0.70485,             0.66743,             0.69328,             0.41402,             0.02344,            0.006431,           0.0099724,             0.00472,             0.00472,             0.00472
                  10,             0.02811,            0.018049,            0.026588,             0.73637,              0.6983,             0.72511,              0.4362,            0.022186,            0.006063,           0.0090936,             0.00406,             0.00406,             0.00406
                  11,            0.027519,            0.017789,            0.025258,             0.75682,              0.7136,              0.7482,             0.46393,            0.021495,           0.0059148,           0.0079536,              0.0034,              0.0034,              0.0034
                  12,            0.026516,            0.017672,            0.023652,             0.78466,              0.7338,             0.78482,             0.48018,             0.02137,           0.0057517,           0.0068611,             0.00274,             0.00274,             0.00274
                  13,            0.026186,            0.017465,            0.023102,             0.77812,             0.74739,             0.78509,             0.49085,            0.020766,           0.0057964,           0.0071469,             0.00208,             0.00208,             0.00208
                  14,            0.025484,            0.017212,            0.021251,             0.80916,             0.73539,             0.78845,             0.49697,            0.020873,           0.0057016,           0.0061565,             0.00142,             0.00142,             0.00142
